Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,SCA,SCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,GCA,GCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,Spiele
120,Dominick Drexler\Dominick-Drexler,de GER,MFFW,Köln,30,1990,13.7,2.26,226,1.97,0.00,0.07,0.07,0.07,0.07,0.07,007,0.00,0.00,0.00,0.07,0.00,0.00,Spiele
121,Ondrej Duda\Ondrej-Duda,sk SVK,FWMF,Köln,25,1994,28.2,3.01,302,1.49,0.89,0.25,0.25,0.14,0.00,0.28,028,0.18,0.07,0.00,0.00,0.04,0.00,Spiele
122,Erik Durm\Erik-Durm,de GER,DF,Eint Frankfurt,28,1992,16.4,1.65,164,1.10,0.06,0.12,0.37,0.00,0.00,0.30,030,0.06,0.00,0.06,0.18,0.00,0.00,Spiele
123,Johannes Eggestein\Johannes-Eggestein,de GER,FWMF,Werder Bremen,22,1998,0.4,2.50,273,2.50,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
124,Maximilian Eggestein\Maximilian-Eggestein,de GER,MF,Werder Bremen,23,1996,32.7,1.77,177,1.50,0.03,0.00,0.06,0.12,0.06,0.28,028,0.28,0.00,0.00,0.00,0.00,0.00,Spiele
125,Lilian Egloff\Lilian-Egloff,de GER,MF,Stuttgart,17,2002,0.2,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
126,Kingsley Ehizibue\Kingsley-Ehizibue,nl NED,DF,Köln,25,1995,12.6,1.27,127,0.87,0.08,0.16,0.08,0.08,0.00,0.24,024,0.08,0.00,0.08,0.08,0.00,0.00,Spiele
127,Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'Gladbach,23,1996,28.2,0.46,046,0.32,0.00,0.00,0.11,0.00,0.04,0.14,014,0.07,0.00,0.00,0.07,0.00,0.00,Spiele
128,Breel Embolo\Breel-Embolo,ch SUI,FWMF,M'Gladbach,23,1997,16.0,2.94,294,1.94,0.00,0.19,0.56,0.25,0.00,0.63,062,0.25,0.00,0.00,0.19,0.19,0.00,Spiele
129,Keita Endo\Keita-Endo,jp JPN,MFFW,Union Berlin,22,1997,5.1,2.75,276,1.57,0.00,0.20,0.00,0.59,0.39,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
130,Wataru Endo\Wataru-Endo,jp JPN,MF,Stuttgart,27,1993,32.8,2.04,204,1.68,0.00,0.03,0.06,0.15,0.12,0.18,018,0.15,0.00,0.00,0.00,0.03,0.00,Spiele
131,Patrick Erras\Patrick-Erras,de GER,MFFW,Werder Bremen,25,1995,0.3,6.67,692,6.67,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
132,Ralf Fährmann\Ralf-Fahrmann,de GER,TW,Schalke 04,31,1988,20.8,0.34,034,0.29,0.05,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
133,Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,de GER,DF,Augsburg,22,1997,29.0,0.34,034,0.28,0.00,0.00,0.00,0.03,0.03,0.03,003,0.03,0.00,0.00,0.00,0.00,0.00,Spiele
134,Edimilson Fernandes\Edimilson-Fernandes,ch SUI,MFDF,Mainz 05,24,1996,9.3,1.61,161,0.97,0.54,0.00,0.11,0.00,0.00,0.11,011,0.00,0.11,0.00,0.00,0.00,0.00,Spiele
135,Alfreð Finnbogason\Alfred-Finnbogason,is ISL,FW,Augsburg,31,1989,6.0,3.17,314,2.50,0.00,0.33,0.33,0.00,0.00,0.17,017,0.17,0.00,0.00,0.00,0.00,0.00,Spiele
136,Mark Flekken\Mark-Flekken,nl NED,TW,Freiburg,27,1993,3.0,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
137,Florian Flick\Florian-Flick,de GER,MF,Schalke 04,20,2000,4.0,0.75,075,0.50,0.00,0.00,0.00,0.25,0.00,0.25,025,0.25,0.00,0.00,0.00,0.00,0.00,Spiele
138,Emil Forsberg\Emil-Forsberg,se SWE,FWMF,RB Leipzig,28,1991,17.1,4.39,439,2.92,0.47,0.35,0.23,0.29,0.12,0.53,053,0.29,0.06,0.06,0.00,0.06,0.06,Spiele
139,Philipp Förster\Philipp-Forster,de GER,FWMF,Stuttgart,25,1995,16.8,3.45,346,2.56,0.36,0.36,0.06,0.12,0.00,0.30,030,0.30,0.00,0.00,0.00,0.00,0.00,Spiele
140,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Leverkusen,22,1998,4.5,1.33,132,1.33,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
141,Raphael Framberger\Raphael-Framberger,de GER,DF,Augsburg,24,1995,17.1,1.23,123,0.99,0.12,0.06,0.00,0.00,0.06,0.06,006,0.06,0.00,0.00,0.00,0.00,0.00,Spiele
142,Marco Friedl\Marco-Friedl,at AUT,DF,Werder Bremen,22,1998,30.9,0.78,078,0.55,0.13,0.03,0.00,0.03,0.03,0.06,006,0.03,0.03,0.00,0.00,0.00,0.00,Spiele
143,Marvin Friedrich\Marvin-Friedrich,de GER,DF,Union Berlin,24,1995,34.0,0.76,076,0.62,0.00,0.03,0.09,0.03,0.00,0.15,015,0.12,0.00,0.00,0.03,0.00,0.00,Spiele
144,Jeremie Frimpong\Jeremie-Frimpong,nl NED,DFFW,Leverkusen,19,2000,4.8,2.08,206,1.88,0.00,0.21,0.00,0.00,0.00,0.42,041,0.42,0.00,0.00,0.00,0.00,0.00,Spiele
145,Niclas Füllkrug\Niclas-Fullkrug,de GER,FWMF,Werder Bremen,27,1993,9.7,1.86,185,1.13,0.00,0.21,0.10,0.41,0.00,0.21,021,0.10,0.00,0.00,0.00,0.10,0.00,Spiele
146,Mijat Ga?inovi?\Mijat-Gacinovic,rs SRB,DFMF,Hoffenheim,25,1995,9.1,2.64,263,1.76,0.55,0.11,0.22,0.00,0.00,0.33,033,0.11,0.11,0.00,0.11,0.00,0.00,Spiele
147,Christian Gebauer\Christian-Gebauer,at AUT,MFFW,Arminia,26,1993,7.6,1.84,183,1.58,0.00,0.00,0.26,0.00,0.00,0.13,013,0.13,0.00,0.00,0.00,0.00,0.00,Spiele
148,Theodor Gebre Selassie\Theodor-Gebre-Selassie,cz CZE,DF,Werder Bremen,33,1986,33.7,1.13,113,0.89,0.09,0.00,0.06,0.09,0.00,0.12,012,0.06,0.03,0.00,0.03,0.00,0.00,Spiele
149,Emrehan Gedikli\Emrehan-Gedikli,de GER,FW,Leverkusen,17,2003,0.3,3.33,360,3.33,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
150,Dennis Geiger\Dennis-Geiger,de GER,MF,Hoffenheim,22,1998,7.3,3.29,328,2.05,1.10,0.00,0.14,0.00,0.00,0.14,014,0.00,0.14,0.00,0.00,0.00,0.00,Spiele
151,Christian Gentner\Christian-Gentner,de GER,MF,Union Berlin,34,1985,11.5,1.57,157,1.39,0.00,0.00,0.00,0.17,0.00,0.09,009,0.09,0.00,0.00,0.00,0.00,0.00,Spiele
152,Yannick Gerhardt\Yannick-Gerhardt,de GER,MFFW,Wolfsburg,26,1994,21.5,1.77,177,1.21,0.14,0.09,0.19,0.14,0.00,0.33,033,0.23,0.00,0.00,0.05,0.05,0.00,Spiele
153,Hamadi Al Ghaddioui\Hamadi-Al-Ghaddioui,ma MAR,FWMF,Stuttgart,29,1990,0.5,4.00,391,4.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
154,Niko Gießelmann\Niko-Giesselmann,de GER,DF,Union Berlin,28,1991,4.8,1.25,126,0.83,0.21,0.00,0.00,0.21,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
155,Rafa? Gikiewicz\Rafal-Gikiewicz,pl POL,TW,Augsburg,32,1987,34.0,0.09,009,0.06,0.03,0.00,0.00,0.00,0.00,0.03,003,0.00,0.03,0.00,0.00,0.00,0.00,Spiele
156,Daniel Ginczek\Daniel-Ginczek,de GER,FWMF,Wolfsburg,29,1991,2.4,2.08,209,2.08,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
157,Matthias Ginter\Matthias-Ginter,de GER,DF,M'Gladbach,26,1994,34.0,0.88,088,0.82,0.00,0.03,0.00,0.03,0.00,0.15,015,0.15,0.00,0.00,0.00,0.00,0.00,Spiele
158,Robert Glatzel\Robert-Glatzel,de GER,FW,Mainz 05,26,1994,4.0,2.75,276,1.75,0.00,0.25,0.25,0.25,0.25,0.75,075,0.25,0.00,0.00,0.25,0.00,0.25,Spiele
159,Serge Gnabry\Serge-Gnabry,de GER,FWMF,Bayern Munich,25,1995,18.3,4.32,432,3.50,0.38,0.22,0.16,0.05,0.00,0.60,060,0.49,0.05,0.00,0.00,0.05,0.00,Spiele
160,Akaki Gogia\Akaki-Gogia,de GER,FWMF,Union Berlin,28,1992,1.6,3.13,321,2.50,0.00,0.00,0.00,0.63,0.00,1.88,193,1.25,0.00,0.00,0.00,0.63,0.00,Spiele
161,Nicolás González\Nicolas-Gonzalez,ar ARG,FWDF,Stuttgart,22,1998,10.4,2.88,289,1.92,0.00,0.29,0.29,0.38,0.00,0.67,067,0.29,0.00,0.19,0.10,0.10,0.00,Spiele
162,Leon Goretzka\Leon-Goretzka,de GER,MF,Bayern Munich,25,1995,18.9,2.43,243,1.85,0.00,0.11,0.26,0.11,0.11,0.74,074,0.53,0.00,0.11,0.11,0.00,0.00,Spiele
163,Jeffrey Gouweleeuw\Jeffrey-Gouweleeuw,nl NED,DF,Augsburg,29,1991,31.5,0.76,076,0.51,0.06,0.03,0.03,0.03,0.10,0.03,003,0.03,0.00,0.00,0.00,0.00,0.00,Spiele
164,Demarai Gray\Demarai-Gray,eng ENG,FW,Leverkusen,24,1996,4.9,3.27,326,2.04,0.61,0.20,0.41,0.00,0.00,0.41,041,0.41,0.00,0.00,0.00,0.00,0.00,Spiele
165,Michael Gregoritsch\Michael-Gregoritsch,at AUT,FWMF,Augsburg,26,1994,9.3,1.61,162,1.08,0.11,0.22,0.00,0.22,0.00,0.43,043,0.32,0.00,0.00,0.00,0.11,0.00,Spiele
166,Sebastian Griesbeck\Sebastian-Griesbeck,de GER,MF,Union Berlin,29,1990,9.9,0.61,061,0.30,0.00,0.10,0.00,0.20,0.00,0.10,010,0.00,0.00,0.00,0.00,0.10,0.00,Spiele
167,Vincenzo Grifo\Vincenzo-Grifo,it ITA,MFFW,Freiburg,27,1993,25.7,4.63,463,2.72,1.25,0.27,0.19,0.16,0.04,0.70,070,0.51,0.16,0.00,0.04,0.00,0.00,Spiele
168,Lennart Grill\Lennart-Grill,de GER,TW,Leverkusen,21,1999,4.0,0.25,025,0.25,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
169,Florian Grillitsch\Florian-Grillitsch,at AUT,MFDF,Hoffenheim,24,1995,20.9,2.01,201,1.67,0.00,0.10,0.10,0.10,0.05,0.33,034,0.24,0.00,0.05,0.00,0.05,0.00,Spiele
170,Christian Groß\Christian-Gross,de GER,MFDF,Werder Bremen,31,1989,16.3,0.86,086,0.74,0.00,0.06,0.06,0.00,0.00,0.06,006,0.06,0.00,0.00,0.00,0.00,0.00,Spiele
171,Ilia Gruev\Ilia-Gruev,bg BUL,FW,Werder Bremen,20,2000,0.0,0,000,0,0,0,0,0,0,0,000,0,0,0,0,0,0,Spiele
172,Carlos Gruezo\Carlos-Gruezo,ec ECU,MF,Augsburg,25,1995,23.2,0.95,095,0.78,0.00,0.09,0.00,0.04,0.04,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
173,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Hertha BSC,21,1999,20.2,1.88,188,1.44,0.10,0.00,0.10,0.25,0.00,0.15,015,0.05,0.00,0.00,0.00,0.10,0.00,Spiele
174,Raphaël Guerreiro\Raphael-Guerreiro,pt POR,DF,Dortmund,26,1993,24.6,3.54,353,3.05,0.16,0.20,0.04,0.04,0.04,0.65,065,0.57,0.04,0.00,0.04,0.00,0.00,Spiele
175,Josuha Guilavogui\Josuha-Guilavogui,fr FRA,MFDF,Wolfsburg,29,1990,8.3,1.33,133,1.20,0.00,0.00,0.00,0.00,0.12,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
176,Péter Gulácsi\Peter-Gulacsi,hu HUN,TW,RB Leipzig,30,1990,33.0,0.06,006,0.06,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
177,Manuel Gulde\Manuel-Gulde,de GER,DF,Freiburg,29,1991,21.7,0.28,028,0.18,0.00,0.00,0.05,0.00,0.05,0.05,005,0.05,0.00,0.00,0.00,0.00,0.00,Spiele
178,Robert Gumny\Robert-Gumny,pl POL,DF,Augsburg,22,1998,15.3,0.98,098,0.72,0.07,0.00,0.07,0.13,0.00,0.13,013,0.07,0.00,0.00,0.00,0.07,0.00,Spiele
179,Christian Günter\Christian-Gunter,de GER,DF,Freiburg,27,1993,34.0,3.00,300,2.06,0.74,0.03,0.06,0.06,0.06,0.24,024,0.18,0.03,0.00,0.00,0.00,0.03,Spiele
180,Erling Haaland\Erling-Haaland,no NOR,FW,Dortmund,20,2000,26.7,2.32,232,1.46,0.00,0.37,0.34,0.11,0.04,0.60,060,0.37,0.00,0.15,0.07,0.00,0.00,Spiele
181,Janik Haberer\Janik-Haberer,de GER,MFFW,Freiburg,26,1994,5.4,1.30,130,0.74,0.00,0.37,0.00,0.00,0.19,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
182,Alexander Hack\Alexander-Hack,de GER,DF,Mainz 05,26,1993,15.2,0.72,072,0.59,0.07,0.00,0.07,0.00,0.00,0.07,007,0.00,0.00,0.00,0.07,0.00,0.00,Spiele
183,André Hahn\Andre-Hahn,de GER,FWMF,Augsburg,29,1990,22.6,1.42,141,0.84,0.04,0.09,0.18,0.13,0.13,0.35,035,0.18,0.00,0.04,0.04,0.04,0.04,Spiele
184,Amadou Haidara\Amadou-Haidara,ml MLI,MFDF,RB Leipzig,22,1998,21.2,3.16,317,2.64,0.00,0.09,0.14,0.14,0.14,0.19,019,0.09,0.00,0.00,0.05,0.05,0.00,Spiele
185,Marcel Halstenberg\Marcel-Halstenberg,de GER,DF,RB Leipzig,28,1991,18.3,2.90,289,2.40,0.22,0.05,0.11,0.00,0.11,0.22,022,0.22,0.00,0.00,0.00,0.00,0.00,Spiele
186,Amine Harit\Amine-Harit,ma MAR,MFFW,Schalke 04,23,1997,23.3,3.65,364,2.15,0.60,0.34,0.04,0.43,0.09,0.30,030,0.21,0.04,0.00,0.00,0.00,0.04,Spiele
187,Marcel Hartel\Marcel-Hartel,de GER,MF,Arminia,24,1996,18.7,1.55,155,1.18,0.27,0.11,0.00,0.00,0.00,0.05,005,0.05,0.00,0.00,0.00,0.00,0.00,Spiele
188,Makoto Hasebe\Makoto-Hasebe,jp JPN,DFMF,Eint Frankfurt,36,1984,25.4,1.54,153,1.34,0.04,0.00,0.00,0.08,0.08,0.04,004,0.04,0.00,0.00,0.00,0.00,0.00,Spiele
189,Thorgan Hazard\Thorgan-Hazard,be BEL,FWMF,Dortmund,27,1993,7.3,2.74,275,1.78,0.55,0.14,0.00,0.14,0.14,0.41,041,0.27,0.14,0.00,0.00,0.00,0.00,Spiele
190,Jonas Hector\Jonas-Hector,de GER,MF,Köln,30,1990,14.3,2.52,251,1.82,0.28,0.14,0.07,0.14,0.07,0.28,028,0.14,0.07,0.00,0.00,0.07,0.00,Spiele
191,Hwang Hee-chan\Hwang-Hee-chan,kr KOR,FWMF,RB Leipzig,24,1996,5.1,2.16,215,1.18,0.00,0.39,0.20,0.39,0.00,0.59,059,0.20,0.00,0.00,0.20,0.20,0.00,Spiele
192,Dominique Heintz\Dominique-Heintz,de GER,DF,Freiburg,26,1993,15.2,0.39,039,0.39,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
193,Benjamin Henrichs\Benjamin-Henrichs,de GER,DFMF,RB Leipzig,23,1997,6.0,1.00,100,1.00,0.00,0.00,0.00,0.00,0.00,0.17,017,0.17,0.00,0.00,0.00,0.00,0.00,Spiele
194,Lucas Hernández\Lucas-Hernandez,fr FRA,DF,Bayern Munich,24,1996,17.7,1.36,135,1.24,0.00,0.00,0.00,0.06,0.06,0.23,023,0.17,0.00,0.00,0.00,0.06,0.00,Spiele
195,Patrick Herrmann\Patrick-Herrmann,de GER,FW,M'Gladbach,29,1991,9.7,3.81,380,2.37,0.72,0.41,0.21,0.10,0.00,0.31,031,0.31,0.00,0.00,0.00,0.00,0.00,Spiele
196,Martin Hinteregger\Martin-Hinteregger,at AUT,DF,Eint Frankfurt,27,1992,28.1,1.10,110,0.71,0.04,0.00,0.18,0.14,0.04,0.14,014,0.04,0.00,0.00,0.04,0.07,0.00,Spiele
197,Marwin Hitz\Marwin-Hitz,ch SUI,TW,Dortmund,32,1987,15.5,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
198,Nicolas Höfler\Nicolas-Hofler,de GER,MF,Freiburg,30,1990,30.3,1.55,155,1.16,0.07,0.03,0.10,0.13,0.07,0.36,036,0.23,0.00,0.03,0.03,0.03,0.03,Spiele
199,Jonas Hofmann\Jonas-Hofmann,de GER,FWMF,M'Gladbach,28,1992,20.2,4.16,416,1.98,1.83,0.05,0.05,0.15,0.10,0.59,059,0.30,0.30,0.00,0.00,0.00,0.00,Spiele
200,Marco Höger\Marco-Hoger,de GER,DFMF,Köln,30,1989,0.6,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
201,Lucas Höler\Lucas-Holer,de GER,FWMF,Freiburg,26,1994,23.2,2.24,224,1.42,0.00,0.13,0.22,0.47,0.00,0.34,034,0.22,0.00,0.00,0.09,0.04,0.00,Spiele
202,Matthew Hoppe\Matthew-Hoppe,us USA,FW,Schalke 04,19,2001,14.5,1.31,131,0.90,0.07,0.07,0.21,0.00,0.07,0.14,014,0.14,0.00,0.00,0.00,0.00,0.00,Spiele
203,Jannes Horn\Jannes-Horn,de GER,DF,Köln,23,1997,19.6,1.43,143,1.17,0.10,0.00,0.05,0.10,0.00,0.10,010,0.10,0.00,0.00,0.00,0.00,0.00,Spiele
204,Timo Horn\Timo-Horn,de GER,TW,Köln,27,1993,33.4,0.12,012,0.09,0.03,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
205,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,TW,Leverkusen,30,1989,28.5,0.14,014,0.11,0.04,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
206,Ajdin Hrustic\Ajdin-Hrustic,au AUS,MFFW,Eint Frankfurt,24,1996,3.0,4.00,397,2.67,0.67,0.33,0.33,0.00,0.00,1.00,099,0.67,0.00,0.00,0.33,0.00,0.00,Spiele
207,Florian Hübner\Florian-Hubner,de GER,DF,Union Berlin,29,1991,5.8,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
208,Mats Hummels\Mats-Hummels,de GER,DF,Dortmund,31,1988,31.3,0.86,086,0.77,0.00,0.00,0.06,0.03,0.00,0.06,006,0.06,0.00,0.00,0.00,0.00,0.00,Spiele
209,Klaas-Jan Huntelaar\Klaas-Jan-Huntelaar,nl NED,FW,Schalke 04,36,1983,6.5,2.00,199,1.54,0.00,0.00,0.31,0.15,0.00,0.46,046,0.31,0.00,0.00,0.15,0.00,0.00,Spiele
210,Iago\Iago,br BRA,DF,Augsburg,23,1997,17.3,1.73,173,1.39,0.06,0.06,0.12,0.00,0.12,0.17,017,0.12,0.00,0.00,0.06,0.00,0.00,Spiele
211,Vedad Ibiševi?\Vedad-Ibisevic,ba BIH,FW,Schalke 04,35,1984,1.7,2.94,288,2.35,0.00,0.00,0.59,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
212,Blendi Idrizi\Blendi-Idrizi,xk KVX,MF,Schalke 04,22,1998,2.6,0.38,038,0.38,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
213,Stefan Ilsanker\Stefan-Ilsanker,at AUT,MFDF,Eint Frankfurt,31,1989,17.5,0.74,074,0.57,0.00,0.00,0.11,0.00,0.06,0.06,006,0.00,0.00,0.00,0.00,0.00,0.06,Spiele
214,Marcus Ingvartsen\Marcus-Ingvartsen,dk DEN,MFFW,Union Berlin,24,1996,21.8,2.11,211,1.19,0.37,0.14,0.18,0.14,0.09,0.41,041,0.18,0.09,0.05,0.00,0.00,0.09,Spiele
215,Ismail Jakobs\Ismail-Jakobs,de GER,DFMF,Köln,20,1999,19.2,1.46,146,1.30,0.05,0.05,0.00,0.05,0.00,0.10,010,0.10,0.00,0.00,0.00,0.00,0.00,Spiele
216,Tony Jantschke\Tony-Jantschke,de GER,DF,M'Gladbach,30,1990,3.0,1.00,100,1.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
217,Rune Jarstein\Rune-Jarstein,no NOR,TW,Hertha BSC,35,1984,8.0,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
218,Tin Jedvaj\Tin-Jedvaj,hr CRO,DF,Leverkusen,24,1995,1.7,0.59,059,0.59,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
219,Fredrik Jensen\Fredrik-Jensen,fi FIN,FWMF,Augsburg,22,1997,4.2,2.14,215,1.43,0.00,0.24,0.48,0.00,0.00,0.71,072,0.24,0.00,0.24,0.24,0.00,0.00,Spiele
220,Marco John\Marco-John,de GER,DF,Hoffenheim,18,2002,11.1,1.80,181,1.62,0.09,0.09,0.00,0.00,0.00,0.09,009,0.09,0.00,0.00,0.00,0.00,0.00,Spiele
221,Luka Jovi?\Luka-Jovic,rs SRB,FWMF,Eint Frankfurt,22,1997,9.9,1.52,151,1.21,0.00,0.10,0.20,0.00,0.00,0.30,030,0.10,0.00,0.10,0.10,0.00,0.00,Spiele
222,Ozan Kabak\Ozan-Kabak,tr TUR,DF,Schalke 04,20,2000,13.8,0.72,072,0.51,0.00,0.00,0.14,0.00,0.07,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
223,Pavel Kade?ábek\Pavel-Kaderabek,cz CZE,DF,Hoffenheim,28,1992,17.6,2.05,204,1.87,0.00,0.06,0.00,0.11,0.00,0.34,034,0.28,0.00,0.06,0.00,0.00,0.00,Spiele
224,Florian Kainz\Florian-Kainz,at AUT,FWMF,Köln,27,1992,5.0,4.00,403,2.00,1.20,0.00,0.20,0.60,0.00,0.40,040,0.20,0.20,0.00,0.00,0.00,0.00,Spiele
225,Sasa Kalajdzic\Sasa-Kalajdzic,at AUT,FW,Stuttgart,23,1997,23.7,2.36,236,1.69,0.00,0.13,0.21,0.30,0.04,0.46,046,0.30,0.00,0.04,0.04,0.08,0.00,Spiele
226,Daichi Kamada\Daichi-Kamada,jp JPN,MFFW,Eint Frankfurt,23,1996,26.2,4.05,405,2.40,1.03,0.11,0.11,0.23,0.15,0.80,080,0.53,0.11,0.00,0.04,0.08,0.04,Spiele
227,Marcin Kami?ski\Marcin-Kaminski,pl POL,DF,Stuttgart,28,1992,2.4,2.92,288,2.92,0.00,0.00,0.00,0.00,0.00,0.42,041,0.42,0.00,0.00,0.00,0.00,0.00,Spiele
228,Kevin Kampl\Kevin-Kampl,si SVN,MF,RB Leipzig,29,1990,21.5,2.19,219,2.14,0.00,0.05,0.00,0.00,0.00,0.33,033,0.33,0.00,0.00,0.00,0.00,0.00,Spiele
229,Jimmy Kaparos\Jimmy-Kaparos,de GER,MF,Schalke 04,18,2001,0.2,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
230,Atakan Karazor\Atakan-Karazor,de GER,DFMF,Stuttgart,23,1996,11.5,0.78,078,0.70,0.00,0.00,0.09,0.00,0.00,0.09,009,0.09,0.00,0.00,0.00,0.00,0.00,Spiele
231,Loris Karius\Loris-Karius,de GER,TW,Union Berlin,27,1993,3.2,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
232,Silas Katompa\Silas-Katompa,cd COD,DFFW,Stuttgart,21,1998,21.3,2.86,286,1.92,0.00,0.28,0.33,0.14,0.19,0.47,047,0.28,0.00,0.05,0.05,0.00,0.09,Spiele
233,Noah Katterbach\Noah-Katterbach,de GER,DF,Köln,19,2001,12.3,2.11,211,1.46,0.08,0.16,0.16,0.24,0.00,0.24,024,0.08,0.00,0.00,0.08,0.08,0.00,Spiele
234,Yannik Keitel\Yannik-Keitel,de GER,MF,Freiburg,20,2000,5.5,1.09,108,0.73,0.00,0.00,0.36,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
235,Marc-Oliver Kempf\Marc-Oliver-Kempf,de GER,DF,Stuttgart,25,1995,30.3,1.02,102,0.92,0.07,0.00,0.03,0.00,0.00,0.07,007,0.07,0.00,0.00,0.00,0.00,0.00,Spiele
236,Rani Khedira\Rani-Khedira,de GER,MF,Augsburg,26,1994,20.2,0.64,064,0.54,0.00,0.00,0.05,0.00,0.05,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
237,Sami Khedira\Sami-Khedira,de GER,MF,Hertha BSC,33,1987,4.4,1.14,114,0.91,0.00,0.00,0.00,0.00,0.23,0.23,023,0.23,0.00,0.00,0.00,0.00,0.00,Spiele
238,Luca Kilian\Luca-Kilian,de GER,DF,Mainz 05,20,1999,4.2,0.24,024,0.24,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
239,Joshua Kimmich\Joshua-Kimmich,de GER,MF,Bayern Munich,25,1995,24.4,4.80,480,2.95,1.56,0.04,0.12,0.08,0.04,0.70,070,0.45,0.25,0.00,0.00,0.00,0.00,Spiele
240,Davy Klaassen\Davy-Klaassen,nl NED,MF,Werder Bremen,27,1993,2.5,1.20,122,0.80,0.00,0.00,0.40,0.00,0.00,0.40,041,0.40,0.00,0.00,0.00,0.00,0.00,Spiele
241,Felix Klaus\Felix-Klaus,de GER,DFMF,Wolfsburg,27,1992,1.5,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
242,Klauss\Klauss,br BRA,FWDF,Hoffenheim,23,1997,0.6,5.00,529,5.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
243,Philipp Klement\Philipp-Klement,de GER,MFFW,Stuttgart,27,1992,4.7,5.74,577,2.13,3.19,0.00,0.21,0.21,0.00,0.85,086,0.43,0.43,0.00,0.00,0.00,0.00,Spiele
