Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,SCA,SCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,GCA,GCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,Spiele
28,Ridle Baku\Ridle-Baku,de GER,DF,Mainz 05,22,1998,2.0,0.50,050,0.50,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
29,Ridle Baku\Ridle-Baku,de GER,FWDF,Wolfsburg,22,1998,29.8,2.85,286,2.32,0.03,0.13,0.10,0.17,0.10,0.54,054,0.47,0.00,0.03,0.00,0.00,0.03,Spiele
30,Philipp Bargfrede\Philipp-Bargfrede,de GER,MF,Werder Bremen,31,1989,0.3,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
31,Aymen Barkok\Aymen-Barkok,ma MAR,MFFW,Eint Frankfurt,22,1998,10.9,3.58,359,2.39,0.73,0.18,0.00,0.18,0.09,0.55,055,0.37,0.09,0.09,0.00,0.00,0.00,Spiele
32,Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,20,2000,25.6,1.21,121,0.98,0.04,0.08,0.00,0.12,0.00,0.08,008,0.08,0.00,0.00,0.00,0.00,0.00,Spiele
33,Jacob Barrett Laursen\Jacob-Barrett-Laursen,dk DEN,DF,Arminia,25,1994,12.3,0.57,057,0.57,0.00,0.00,0.00,0.00,0.00,0.08,008,0.08,0.00,0.00,0.00,0.00,0.00,Spiele
34,Oliver Baumann\Oliver-Baumann,de GER,TW,Hoffenheim,30,1990,31.0,0.06,006,0.03,0.03,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
35,Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MF,Leverkusen,32,1988,11.9,1.93,193,1.51,0.00,0.00,0.08,0.34,0.00,0.17,017,0.08,0.00,0.00,0.08,0.00,0.00,Spiele
36,Christoph Baumgartner\Christoph-Baumgartner,at AUT,MFFW,Hoffenheim,20,1999,26.3,3.00,300,1.94,0.08,0.11,0.19,0.53,0.15,0.42,042,0.27,0.00,0.04,0.00,0.11,0.00,Spiele
37,Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,ng NGA,FWMF,Augsburg,23,1996,0.4,2.50,250,2.50,0.00,0.00,0.00,0.00,0.00,2.50,250,2.50,0.00,0.00,0.00,0.00,0.00,Spiele
38,Ihlas Bebou\Ihlas-Bebou,tg TOG,FW,Hoffenheim,26,1994,24.4,2.91,290,2.30,0.00,0.33,0.12,0.12,0.04,0.57,057,0.33,0.00,0.12,0.08,0.04,0.00,Spiele
39,Sheraldo Becker\Sheraldo-Becker,sr SUR,FWMF,Union Berlin,25,1995,12.3,3.01,301,2.28,0.00,0.24,0.24,0.24,0.00,0.73,073,0.57,0.00,0.08,0.00,0.08,0.00,Spiele
40,Timo Becker\Timo-Becker,de GER,DF,Schalke 04,23,1997,18.2,0.49,049,0.33,0.05,0.00,0.00,0.11,0.00,0.16,016,0.11,0.05,0.00,0.00,0.00,0.00,Spiele
41,Brian Behrendt\Brian-Behrendt,de GER,DF,Arminia,28,1991,0.9,2.22,228,0.00,1.11,1.11,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
42,Maximilian Beier\Maximilian-Beier,de GER,FWDF,Hoffenheim,17,2002,0.1,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
43,Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,Hoffenheim,28,1992,6.6,2.88,287,2.12,0.00,0.00,0.30,0.45,0.00,0.15,015,0.15,0.00,0.00,0.00,0.00,0.00,Spiele
44,Stefan Bell\Stefan-Bell,de GER,DF,Mainz 05,28,1991,14.1,0.43,043,0.28,0.07,0.00,0.00,0.00,0.07,0.14,014,0.07,0.07,0.00,0.00,0.00,0.00,Spiele
45,Karim Bellarabi\Karim-Bellarabi,de GER,FWMF,Leverkusen,30,1990,8.9,3.37,338,2.25,0.00,0.90,0.22,0.00,0.00,0.11,011,0.00,0.00,0.00,0.11,0.00,0.00,Spiele
46,Jude Bellingham\Jude-Bellingham,eng ENG,MF,Dortmund,17,2003,18.9,2.17,217,1.80,0.00,0.05,0.05,0.16,0.11,0.37,037,0.37,0.00,0.00,0.00,0.00,0.00,Spiele
47,Lars Bender\Lars-Bender,de GER,DF,Leverkusen,31,1989,10.4,1.63,163,1.54,0.00,0.10,0.00,0.00,0.00,0.29,029,0.29,0.00,0.00,0.00,0.00,0.00,Spiele
48,Sven Bender\Sven-Bender,de GER,DF,Leverkusen,31,1989,13.0,0.92,092,0.85,0.00,0.00,0.08,0.00,0.00,0.15,015,0.15,0.00,0.00,0.00,0.00,0.00,Spiele
49,László Bénes\Laszlo-Benes,sk SVK,MFFW,Augsburg,22,1997,7.3,3.15,314,1.37,0.96,0.14,0.14,0.55,0.00,0.14,014,0.00,0.14,0.00,0.00,0.00,0.00,Spiele
50,László Bénes\Laszlo-Benes,sk SVK,MF,M'Gladbach,22,1997,1.7,3.53,360,0.59,2.35,0.00,0.00,0.59,0.00,1.18,120,0.00,0.59,0.00,0.00,0.59,0.00,Spiele
51,Ramy Bensebaini\Ramy-Bensebaini,dz ALG,DF,M'Gladbach,25,1995,20.1,1.00,099,0.75,0.00,0.10,0.05,0.05,0.05,0.20,020,0.05,0.00,0.05,0.05,0.05,0.00,Spiele
52,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Schalke 04,25,1994,6.1,0.66,066,0.66,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
53,Louis Beyer\Louis-Beyer,de GER,DF,M'Gladbach,20,2000,2.1,0.95,096,0.95,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
54,Bartosz Bialek\Bartosz-Bialek,pl POL,FWMF,Wolfsburg,18,2001,3.0,3.33,333,3.33,0.00,0.00,0.00,0.00,0.00,0.67,067,0.67,0.00,0.00,0.00,0.00,0.00,Spiele
55,Ermin Bi?ak?i?\Ermin-Bicakcic,ba BIH,DF,Hoffenheim,30,1990,1.4,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
