Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,Ver,Live,Tot,FS,SP,Pressen,W,Fla,EB,Innen,AuÃŸen,Ger.,Boden,Tief,Hoch,Links,Rechts,Kopf,EW,Andere,Vol,Aus,AuÃŸerhalb,Abg,Blocks,Spiele
43,Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,Hoffenheim,28,1992,6.6,22.9,20.5,2.42,0.00,0.15,4.39,0.00,0.61,0.00,0.00,0.00,0.00,15.5,5.15,2.27,1.52,18.5,1.36,0.45,0.30,16.4,0.15,0.45,1.52,0.76,Spiele
44,Stefan Bell\Stefan-Bell,de GER,DF,Mainz 05,28,1991,14.1,37.7,35.5,2.13,1.42,0.00,5.53,0.78,0.14,0.00,0.00,0.00,0.00,22.0,5.74,9.93,5.46,25.2,3.48,0.71,0.00,29.6,0.35,0.78,0.43,0.50,Spiele
45,Karim Bellarabi\Karim-Bellarabi,de GER,FWMF,Leverkusen,30,1990,8.9,46.3,43.9,2.36,0.11,0.00,7.53,1.57,5.73,0.00,0.00,0.00,0.00,29.6,8.99,7.75,3.60,39.1,0.79,2.13,0.45,32.8,0.45,0.90,1.69,2.92,Spiele
46,Jude Bellingham\Jude-Bellingham,eng ENG,MF,Dortmund,17,2003,18.9,56.5,55.6,0.95,0.63,0.11,8.62,1.64,1.11,0.00,0.00,0.00,0.00,46.0,5.82,4.71,7.04,46.6,1.43,0.11,0.26,47.0,0.21,0.90,1.59,1.64,Spiele
47,Lars Bender\Lars-Bender,de GER,DF,Leverkusen,31,1989,10.4,68.0,58.5,9.52,0.87,0.10,9.71,1.35,0.87,0.00,0.00,0.00,0.00,43.1,11.1,13.8,6.92,48.3,3.08,8.65,0.29,56.5,0.29,0.38,1.35,2.12,Spiele
48,Sven Bender\Sven-Bender,de GER,DF,Leverkusen,31,1989,13.0,77.1,75.5,1.54,1.54,0.00,6.62,1.38,0.31,0.00,0.00,0.00,0.00,63.6,5.31,8.15,15.2,57.2,3.00,0.00,0.54,70.5,0.00,0.77,0.38,0.23,Spiele
49,László Bénes\Laszlo-Benes,sk SVK,MFFW,Augsburg,22,1997,7.3,36.2,30.5,5.62,3.15,0.00,11.4,1.64,1.37,2.47,1.78,0.55,0.00,17.1,5.89,13.2,28.4,3.29,2.33,0.00,0.68,23.8,0.41,0.27,1.64,1.23,Spiele
50,László Bénes\Laszlo-Benes,sk SVK,MF,M'Gladbach,22,1997,1.7,64.7,50.6,14.1,8.82,0.00,5.88,2.35,1.18,5.29,1.18,2.94,1.18,42.9,6.47,15.3,51.2,10.0,2.94,0.00,0.59,47.1,0.59,2.35,1.18,1.76,Spiele
51,Ramy Bensebaini\Ramy-Bensebaini,dz ALG,DF,M'Gladbach,25,1995,20.1,60.2,51.2,9.00,1.94,0.05,6.92,1.09,0.70,0.00,0.00,0.00,0.00,39.7,12.3,8.16,39.0,11.4,1.94,7.06,0.25,50.0,0.20,1.14,1.44,1.79,Spiele
52,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Schalke 04,25,1994,6.1,46.1,44.6,1.48,1.31,0.00,7.87,1.48,0.16,0.00,0.00,0.00,0.00,34.8,6.56,4.75,36.6,6.23,1.48,0.16,0.66,37.9,0.16,0.66,1.48,0.66,Spiele
53,Louis Beyer\Louis-Beyer,de GER,DF,M'Gladbach,20,2000,2.1,42.9,39.0,3.81,2.38,0.00,8.10,0.48,0.00,0.00,0.00,0.00,0.00,30.0,5.24,7.62,5.71,31.4,0.95,1.43,0.00,35.7,0.00,1.43,0.48,0.48,Spiele
54,Bartosz Bialek\Bartosz-Bialek,pl POL,FWMF,Wolfsburg,18,2001,3.0,26.7,26.0,0.67,0.33,0.00,8.33,1.00,0.00,0.00,0.00,0.00,0.00,12.7,5.00,9.00,2.67,17.7,4.33,0.00,0.33,18.7,0.00,0.67,0.33,1.33,Spiele
55,Ermin Bi?ak?i?\Ermin-Bicakcic,ba BIH,DF,Hoffenheim,30,1990,1.4,44.3,43.6,0.71,0.71,0.00,4.29,0.00,0.00,0.00,0.00,0.00,0.00,35.7,4.29,4.29,15.0,27.9,0.71,0.00,0.00,38.6,0.00,0.00,0.71,1.43,Spiele
56,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MFFW,Werder Bremen,26,1993,16.8,38.5,35.5,2.98,1.19,0.06,7.32,1.49,2.38,1.07,0.24,0.65,0.06,24.3,5.60,8.63,8.57,27.4,1.43,0.30,0.30,27.7,0.24,0.65,0.89,2.02,Spiele
57,Jérôme Boateng\Jerome-Boateng,de GER,DF,Bayern Munich,31,1988,26.3,74.7,72.4,2.28,1.94,0.00,5.86,2.66,0.34,0.00,0.00,0.00,0.00,58.6,4.90,11.2,21.7,49.4,2.13,0.34,0.08,66.8,0.23,0.95,0.53,0.19,Spiele
58,Jean-Paul Boëtius\Jean-Paul-Boetius,nl NED,MFFW,Mainz 05,26,1994,22.9,35.2,34.4,0.83,0.35,0.22,6.59,1.09,1.27,0.00,0.00,0.00,0.00,23.7,5.81,5.72,7.86,24.3,1.62,0.26,0.52,24.5,0.22,0.74,1.62,2.14,Spiele
59,Melayro Bogarde\Melayro-Bogarde,nl NED,DFMF,Hoffenheim,18,2002,3.1,54.2,48.7,5.48,1.29,0.00,5.81,2.90,0.00,0.00,0.00,0.00,0.00,36.5,9.68,8.06,3.87,42.9,2.26,4.19,0.32,46.8,0.00,1.29,2.26,0.32,Spiele
60,Elias Bördner\Elias-Bordner,de GER,TW,Eint Frankfurt,18,2002,1.0,43.0,32.0,11.0,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,23.0,1.00,19.0,4.00,29.0,0.00,0.00,9.00,29.0,0.00,2.00,0.00,0.00,Spiele
61,Dennis Borkowski\Dennis-Borkowski,de GER,MFFW,RB Leipzig,18,2002,0.1,70.0,70.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,60.0,10.0,0.00,10.0,50.0,0.00,0.00,0.00,50.0,0.00,0.00,10.0,0.00,Spiele
62,Sebastiaan Bornauw\Sebastiaan-Bornauw,be BEL,DF,Köln,21,1999,23.1,38.7,37.1,1.56,0.74,0.00,4.24,1.69,0.04,0.00,0.00,0.00,0.00,26.8,3.72,8.18,3.98,30.5,3.03,0.09,0.09,32.4,0.09,0.65,0.35,0.56,Spiele
63,Nassim Boujellab\Nassim-Boujellab,ma MAR,MFFW,Schalke 04,21,1999,6.7,27.5,26.7,0.75,0.00,0.00,6.27,0.00,0.15,0.00,0.00,0.00,0.00,19.7,4.03,3.73,3.28,20.6,1.94,0.00,0.15,19.9,0.15,0.00,0.90,1.64,Spiele
64,Dedryck Boyata\Dedryck-Boyata,be BEL,DF,Hertha BSC,29,1990,17.2,59.6,58.3,1.28,1.22,0.00,4.24,2.73,0.06,0.00,0.00,0.00,0.00,49.5,3.55,6.57,9.59,46.2,2.33,0.06,0.47,53.0,0.06,0.87,0.58,0.52,Spiele
65,Can Bozdogan\Can-Bozdogan,de GER,MF,Schalke 04,19,2001,7.2,31.3,29.9,1.39,0.69,0.14,4.86,0.42,1.67,0.42,0.14,0.28,0.00,22.8,4.17,4.31,24.4,4.17,1.67,0.28,0.42,23.3,0.14,1.11,0.56,1.39,Spiele
66,Julian Brandt\Julian-Brandt,de GER,FWMF,Dortmund,24,1996,16.6,54.9,53.4,1.57,0.36,0.42,8.01,1.99,1.51,0.72,0.12,0.36,0.00,43.9,6.57,4.52,10.2,42.7,0.90,0.42,0.48,46.3,0.06,0.66,1.93,1.08,Spiele
67,Fabian Bredlow\Fabian-Bredlow,de GER,TW,Stuttgart,25,1995,1.0,36.0,25.0,11.0,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,25.0,0.00,11.0,17.0,13.0,0.00,0.00,5.00,27.0,0.00,0.00,0.00,0.00,Spiele
68,Josip Brekalo\Josip-Brekalo,hr CRO,FW,Wolfsburg,22,1998,20.2,42.0,38.7,3.32,0.59,0.05,8.56,1.88,1.44,1.83,0.89,0.59,0.05,29.8,5.20,7.03,5.15,34.5,1.34,0.74,0.10,31.6,0.05,0.64,1.63,1.73,Spiele
69,Joshua Brenet\Joshua-Brenet,nl NED,DF,Hoffenheim,26,1994,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,Spiele
70,John Brooks\John-Brooks,us USA,DF,Wolfsburg,27,1993,30.8,60.7,57.7,3.02,2.86,0.00,5.39,2.27,0.06,0.00,0.00,0.00,0.00,44.8,4.58,11.3,45.2,10.3,3.31,0.16,0.32,51.4,0.23,1.27,0.84,0.42,Spiele
71,Daniel Brosinski\Daniel-Brosinski,de GER,DF,Mainz 05,32,1988,15.9,52.8,36.5,16.3,2.58,0.06,5.35,1.95,3.65,3.14,1.57,0.94,0.19,22.3,11.1,19.4,2.77,37.1,1.82,10.6,0.00,33.5,0.19,0.94,1.95,1.82,Spiele
72,Cédric Brunner\Cedric-Brunner,ch SUI,DF,Arminia,26,1994,29.5,48.9,38.3,10.6,0.78,0.00,6.61,1.19,1.80,0.07,0.00,0.07,0.00,24.5,7.29,17.1,5.22,30.4,2.34,9.76,0.14,34.9,0.24,0.95,0.64,1.25,Spiele
73,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FW,Hoffenheim,21,1998,1.0,19.0,19.0,0.00,0.00,0.00,4.00,0.00,1.00,0.00,0.00,0.00,0.00,15.0,3.00,1.00,5.00,12.0,1.00,0.00,0.00,15.0,0.00,2.00,0.00,1.00,Spiele
74,Marius Bülter\Marius-Bulter,de GER,FWMF,Union Berlin,27,1993,10.9,29.4,28.0,1.47,0.00,0.00,5.60,0.83,2.39,0.09,0.00,0.00,0.00,18.3,6.61,4.50,8.53,17.2,1.28,1.10,0.37,18.3,0.28,0.92,0.83,3.03,Spiele
75,Jonathan Burkardt\Jonathan-Burkardt,de GER,FWDF,Mainz 05,20,2000,15.3,26.1,23.5,2.68,0.07,0.00,5.88,0.26,0.78,0.00,0.00,0.00,0.00,17.3,4.97,3.86,4.31,17.7,1.11,1.90,0.26,18.5,0.20,0.26,0.46,1.44,Spiele
76,Nishan Burkart\Nishan-Burkart,ch SUI,MF,Freiburg,20,2000,0.2,30.0,30.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,25.0,5.00,0.00,5.00,20.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,5.00,Spiele
77,Roman Bürki\Roman-Burki,ch SUI,TW,Dortmund,29,1990,18.5,34.0,27.0,6.97,1.03,0.00,2.22,0.97,0.00,0.00,0.00,0.00,0.00,22.8,1.68,9.57,8.16,19.8,0.00,0.05,5.73,27.8,0.00,0.70,0.00,0.11,Spiele
78,Kerim Calhanoglu\Kerim-Calhanoglu,de GER,DF,Schalke 04,17,2002,3.3,41.5,33.0,8.48,0.91,0.00,6.67,0.91,1.82,0.00,0.00,0.00,0.00,20.6,7.27,13.6,26.7,6.06,0.91,7.58,0.00,26.7,0.30,1.52,0.91,3.03,Spiele
79,Daniel Caligiuri\Daniel-Caligiuri,it ITA,MFDF,Augsburg,32,1988,29.6,40.2,32.2,8.07,2.87,0.07,8.24,1.99,1.39,2.53,1.22,0.84,0.14,21.6,7.40,11.3,5.20,30.7,0.84,2.67,0.20,27.8,0.24,0.74,1.15,1.86,Spiele
80,Emre Can\Emre-Can,de GER,DFMF,Dortmund,26,1994,23.7,76.6,73.5,3.16,1.94,0.17,9.49,2.53,0.51,0.00,0.00,0.00,0.00,59.7,7.26,9.70,15.9,56.2,1.52,1.22,0.59,66.9,0.08,1.01,1.35,0.76,Spiele
81,Koen Casteels\Koen-Casteels,be BEL,TW,Wolfsburg,28,1992,32.0,39.0,31.0,8.00,1.66,0.00,2.59,0.84,0.00,0.00,0.00,0.00,0.00,21.6,1.53,15.9,26.1,6.69,0.00,0.00,4.94,29.3,0.06,0.59,0.09,0.13,Spiele
82,Gonzalo Castro\Gonzalo-Castro,de GER,MFFW,Stuttgart,33,1987,19.2,47.1,40.6,6.56,2.45,0.16,8.39,1.56,1.41,2.81,0.73,1.30,0.57,31.9,6.46,8.80,5.47,38.4,0.99,1.30,0.31,35.2,0.21,0.68,1.09,2.34,Spiele
83,Sava Cestic\Sava-Cestic,rs SRB,DF,Köln,19,2001,10.0,40.5,38.7,1.80,1.60,0.00,3.80,0.70,0.00,0.00,0.00,0.00,0.00,27.6,3.80,9.10,4.10,33.3,2.50,0.00,0.00,30.7,0.00,0.70,0.70,0.80,Spiele
84,Timothy Chandler\Timothy-Chandler,us USA,DF,Eint Frankfurt,30,1990,4.8,44.6,36.5,8.13,0.42,0.00,4.79,1.04,3.96,0.00,0.00,0.00,0.00,23.8,10.0,10.8,6.46,27.3,1.25,7.71,0.63,31.9,0.00,0.63,1.88,1.46,Spiele
85,Kwon Chang-hoon\Kwon-Chang-hoon,kr KOR,MFFW,Freiburg,26,1994,2.4,29.6,28.8,0.83,0.83,0.00,8.33,0.42,1.67,0.00,0.00,0.00,0.00,19.2,6.67,3.75,20.8,5.42,0.83,0.00,0.42,22.5,0.00,0.83,0.42,0.83,Spiele
86,Tahith Chong\Tahith-Chong,nl NED,FWMF,Werder Bremen,20,1999,4.3,31.6,30.7,0.93,0.00,0.00,6.51,0.47,1.63,0.00,0.00,0.00,0.00,20.2,8.37,3.02,27.0,3.26,0.23,0.93,0.00,20.0,0.00,0.47,2.09,3.95,Spiele
87,Darko Churlinov\Darko-Churlinov,mk MKD,DFFW,Stuttgart,20,2000,2.4,41.3,39.6,1.67,0.00,0.00,7.08,0.42,2.08,0.00,0.00,0.00,0.00,31.7,5.00,4.58,5.00,33.3,0.42,1.67,0.42,33.8,0.42,0.83,1.25,0.83,Spiele
88,Tim Civeja\Tim-Civeja,de GER,MFDF,Augsburg,18,2002,0.4,60.0,60.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,32.5,7.50,20.0,2.50,45.0,12.5,0.00,0.00,40.0,0.00,2.50,0.00,5.00,Spiele
89,Kingsley Coman\Kingsley-Coman,fr FRA,FWMF,Bayern Munich,24,1996,19.5,43.9,43.3,0.56,0.05,0.31,7.69,1.49,3.95,0.05,0.00,0.00,0.00,31.0,6.41,6.51,10.2,31.0,1.54,0.46,0.15,34.9,0.05,0.87,1.28,1.64,Spiele
