Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,Tkl,TklG,Def. 1/3,Mit. 1/3,Off. 1/3,Tkl,Ver,Tkl%,Ausg,Pressen,Erf.,%,Def. 1/3,Mit. 1/3,Off. 1/3,Blocks,Sc,Schuss abgewehrt,Pass,Abg,Ang+Abf,Aufkl.,Fe.,Spiele
22,Toluwalas Arokodare\Toluwalas-Arokodare,ng NGA,FW,Köln,19,2000,1.2,0.83,0.83,0.00,0.00,0.83,0.00,0.00,,0.00,15.0,5.83,389,0.83,5.83,8.33,0.83,0.00,0.00,0.83,0.00,0.83,0.00,0.00,Spiele
23,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Hertha BSC,23,1997,8.5,4.00,1.88,2.12,1.76,0.12,1.41,4.00,353,2.59,29.5,7.88,267,12.8,13.8,2.94,2.35,0.24,0.00,2.12,1.29,5.29,2.24,0.00,Spiele
24,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,26,1994,21.7,1.94,0.78,1.01,0.65,0.28,0.74,1.47,500,0.74,12.8,4.52,354,5.30,4.75,2.72,2.30,0.37,0.00,1.94,0.65,2.58,3.09,0.00,Spiele
25,Taiwo Awoniyi\Taiwo-Awoniyi,ng NGA,FW,Union Berlin,22,1997,15.1,0.53,0.40,0.26,0.26,0.00,0.07,0.79,83,0.73,13.7,4.97,362,1.52,6.56,5.63,0.93,0.13,0.00,0.79,0.26,0.79,0.26,0.00,Spiele
26,Mehmet-Can Aydin\Mehmet-Can-Aydin,de GER,DF,Schalke 04,18,2002,5.6,2.50,1.07,0.89,1.61,0.00,0.89,2.14,417,1.25,16.3,4.29,264,6.96,6.61,2.68,1.79,0.00,0.00,1.79,1.61,4.11,2.86,0.00,Spiele
27,Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,22,1997,23.8,0.88,0.50,0.21,0.42,0.25,0.25,0.80,316,0.55,10.4,3.11,300,1.76,4.66,3.95,0.63,0.00,0.00,0.63,0.76,1.64,0.38,0.00,Spiele
28,Ridle Baku\Ridle-Baku,de GER,DF,Mainz 05,22,1998,2.0,2.50,1.00,1.50,1.00,0.00,0.00,2.50,00,2.50,11.0,3.00,273,5.50,4.50,1.00,2.50,0.00,0.00,2.50,2.00,4.50,2.50,0.00,Spiele
29,Ridle Baku\Ridle-Baku,de GER,FWDF,Wolfsburg,22,1998,29.8,1.85,0.91,0.74,0.87,0.23,0.74,1.78,415,1.04,17.4,5.40,311,5.27,6.41,5.70,2.52,0.13,0.00,2.38,1.58,3.42,1.21,0.03,Spiele
30,Philipp Bargfrede\Philipp-Bargfrede,de GER,MF,Werder Bremen,31,1989,0.3,3.33,3.33,0.00,3.33,0.00,0.00,0.00,,0.00,33.3,23.3,700,20.0,13.3,0.00,0.00,0.00,0.00,0.00,3.33,6.67,6.67,0.00,Spiele
31,Aymen Barkok\Aymen-Barkok,ma MAR,MFFW,Eint Frankfurt,22,1998,10.9,2.84,1.65,1.10,0.64,1.10,0.92,2.75,333,1.83,26.5,7.80,294,5.32,11.4,9.82,1.83,0.09,0.00,1.74,1.28,4.13,0.83,0.00,Spiele
32,Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,20,2000,25.6,2.66,1.52,1.05,1.05,0.55,0.59,1.91,306,1.33,22.7,6.76,298,6.72,11.2,4.73,2.38,0.47,0.00,1.91,1.95,4.61,2.46,0.00,Spiele
33,Jacob Barrett Laursen\Jacob-Barrett-Laursen,dk DEN,DF,Arminia,25,1994,12.3,1.71,1.06,0.89,0.73,0.08,0.49,1.14,429,0.65,12.4,3.33,270,6.42,4.47,1.46,3.25,0.49,0.00,2.76,1.87,3.58,3.01,0.00,Spiele
