Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,Tkl,TklG,Def. 1/3,Mit. 1/3,Off. 1/3,Tkl,Ver,Tkl%,Ausg,Pressen,Erf.,%,Def. 1/3,Mit. 1/3,Off. 1/3,Blocks,Sc,Schuss abgewehrt,Pass,Abg,Ang+Abf,Aufkl.,Fe.,Spiele
93,Danny da Costa\Danny-da-Costa,de GER,DF,Eint Frankfurt,27,1993,1.2,1.67,1.67,1.67,0.00,0.00,0.00,0.83,00,0.83,20.8,5.00,240,7.50,10.0,3.33,3.33,0.83,0.00,2.50,0.00,1.67,3.33,0.00,Spiele
94,Douglas Costa\Douglas-Costa,br BRA,FWMF,Bayern Munich,29,1990,3.6,0.56,0.56,0.28,0.28,0.00,0.00,0.56,00,0.56,18.6,5.00,269,1.39,8.89,8.33,2.22,0.28,0.00,1.94,0.83,1.39,0.00,0.00,Spiele
95,Tanguy Coulibaly\Tanguy-Coulibaly,fr FRA,DFFW,Stuttgart,19,2001,16.7,2.28,1.20,1.08,0.48,0.72,0.84,1.80,467,0.96,21.7,5.63,260,5.57,8.14,7.96,1.56,0.00,0.00,1.56,0.42,2.69,0.90,0.00,Spiele
96,Mickaël Cuisance\Mickael-Cuisance,fr FRA,FW,Bayern Munich,20,1999,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,20.0,5.00,250,0.00,5.00,15.0,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,Spiele
97,Matheus Cunha\Matheus-Cunha,br BRA,FWMF,Hertha BSC,21,1999,23.9,1.63,1.26,0.42,0.92,0.29,0.50,2.13,235,1.63,20.6,5.69,276,5.02,8.83,6.74,1.59,0.17,0.00,1.42,1.46,3.10,0.25,0.00,Spiele
98,Rafael Czichos\Rafael-Czichos,de GER,DF,Köln,30,1990,25.1,2.51,1.47,1.63,0.84,0.04,0.80,1.75,455,0.96,10.8,4.30,397,6.53,4.10,0.20,1.63,0.40,0.00,1.24,1.51,4.02,5.74,0.00,Spiele
99,Moanes Dabour\Moanes-Dabour,il ISR,FW,Hoffenheim,28,1992,11.1,1.08,0.72,0.45,0.36,0.27,0.36,1.35,267,0.99,16.9,5.41,319,1.89,8.20,6.85,0.90,0.09,0.00,0.81,0.54,1.62,0.45,0.00,Spiele
100,Finn Dahmen\Finn-Dahmen,de GER,TW,Mainz 05,22,1998,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.33,00,0.33,0.33,0.00,00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
101,Mahmoud Dahoud\Mahmoud-Dahoud,de GER,MF,Dortmund,24,1996,14.0,2.57,1.71,0.86,1.43,0.29,0.79,2.71,289,1.93,21.1,5.86,278,5.93,12.2,2.93,2.21,0.50,0.00,1.71,1.50,4.07,1.00,0.00,Spiele
102,Leon Dajaku\Leon-Dajaku,de GER,FW,Union Berlin,19,2001,0.4,2.50,2.50,0.00,2.50,0.00,0.00,0.00,,0.00,17.5,2.50,143,0.00,17.5,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,Spiele
103,Tiago Dantas\Tiago-Dantas,pt POR,MF,Bayern Munich,19,2000,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,12.5,2.50,200,6.25,5.00,1.25,0.00,0.00,0.00,0.00,1.25,1.25,0.00,0.00,Spiele
104,Márton Dárdai\Marton-Dardai,de GER,DFMF,Hertha BSC,18,2002,9.1,1.98,1.21,1.32,0.55,0.11,0.88,1.76,500,0.88,9.89,2.86,289,5.60,3.85,0.44,1.54,0.33,0.00,1.21,1.65,3.63,4.51,0.00,Spiele
105,Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,29,1990,21.1,1.75,1.14,0.81,0.71,0.24,0.43,1.66,257,1.23,19.3,6.21,322,4.69,10.4,4.22,1.66,0.09,0.00,1.56,1.52,3.27,1.14,0.00,Spiele
106,Alphonso Davies\Alphonso-Davies,ca CAN,DF,Bayern Munich,19,2000,19.6,2.45,1.94,0.92,1.12,0.41,1.02,1.53,667,0.51,12.6,5.00,398,4.64,4.90,3.01,2.24,0.05,0.00,2.19,2.35,4.80,1.73,0.05,Spiele
107,Thomas Delaney\Thomas-Delaney,dk DEN,MF,Dortmund,28,1991,14.3,3.43,2.59,1.33,1.54,0.56,1.12,2.45,457,1.33,19.2,6.99,365,7.34,9.44,2.38,2.31,0.70,0.00,1.61,1.68,5.10,1.96,0.07,Spiele
108,Kerem Demirbay\Kerem-Demirbay,de GER,MF,Leverkusen,27,1993,19.4,2.63,1.80,0.72,1.60,0.31,0.77,2.27,341,1.49,22.9,8.30,363,5.52,12.3,5.05,1.29,0.21,0.00,1.08,0.67,3.30,0.52,0.05,Spiele
109,Ermedin Demirovi?\Ermedin-Demirovic,ba BIH,FW,Freiburg,22,1998,16.6,1.02,0.78,0.24,0.36,0.42,0.06,1.14,53,1.08,22.7,5.78,255,1.93,9.70,11.0,1.87,0.30,0.00,1.57,0.30,1.33,1.39,0.06,Spiele
110,Emmanuel Dennis\Emmanuel-Dennis,ng NGA,FW,Köln,22,1997,5.3,2.26,1.32,0.94,0.38,0.94,0.38,1.13,333,0.75,24.7,5.47,221,3.02,10.0,11.7,0.94,0.00,0.00,0.94,0.57,2.83,0.00,0.00,Spiele
111,Mike van der Hoorn\Mike-van-der-Hoorn,nl NED,DF,Arminia,27,1992,15.1,0.53,0.46,0.13,0.40,0.00,0.07,0.33,200,0.26,5.23,2.12,405,3.31,1.79,0.13,1.46,0.46,0.00,0.99,0.53,1.06,6.75,0.07,Spiele
112,Moussa Diaby\Moussa-Diaby,fr FRA,FWMF,Leverkusen,21,1999,26.5,0.49,0.26,0.23,0.19,0.08,0.08,0.60,125,0.53,10.7,2.75,258,1.51,4.91,4.26,0.60,0.00,0.00,0.60,0.72,1.21,0.38,0.00,Spiele
113,Daniel Didavi\Daniel-Didavi,de GER,FWMF,Stuttgart,30,1990,10.8,1.39,0.65,0.28,0.74,0.37,0.19,0.83,222,0.65,16.4,5.09,311,2.78,5.65,7.96,1.02,0.00,0.00,1.02,0.56,1.94,0.83,0.00,Spiele
114,Javairô Dilrosun\Javairo-Dilrosun,nl NED,FWMF,Hertha BSC,22,1998,5.9,1.36,0.85,0.34,0.34,0.68,0.51,1.02,500,0.51,20.5,5.59,273,4.41,9.66,6.44,1.19,0.00,0.00,1.19,1.02,2.37,0.34,0.00,Spiele
115,Eren Dinkçi\Eren-Dinkci,de GER,FWMF,Werder Bremen,18,2001,1.2,1.67,0.00,0.83,0.00,0.83,0.00,1.67,00,1.67,34.2,1.67,49,7.50,15.8,10.8,2.50,0.00,0.00,2.50,2.50,4.17,0.83,0.00,Spiele
116,Ritsu Doan\Ritsu-Doan,jp JPN,MFFW,Arminia,22,1998,30.8,2.05,1.43,0.78,0.97,0.29,0.55,1.79,309,1.23,21.1,6.56,311,5.62,9.48,5.97,1.82,0.13,0.00,1.69,0.84,2.89,0.39,0.00,Spiele
117,Ji Dong-won\Ji-Dong-won,kr KOR,FWDF,Mainz 05,29,1991,0.7,2.86,0.00,1.43,0.00,1.43,1.43,1.43,1000,0.00,15.7,5.71,364,4.29,5.71,5.71,0.00,0.00,0.00,0.00,0.00,2.86,0.00,0.00,Spiele
118,Bas Dost\Bas-Dost,nl NED,FW,Eint Frankfurt,31,1989,9.1,0.44,0.44,0.22,0.22,0.00,0.11,0.44,250,0.33,9.78,3.41,348,0.44,4.95,4.40,0.77,0.11,0.00,0.66,0.22,0.66,0.88,0.00,Spiele
119,Aleksandar Dragovi?\Aleksandar-Dragovic,at AUT,DF,Leverkusen,29,1991,12.6,1.35,0.79,0.48,0.63,0.24,0.48,0.95,500,0.48,9.76,3.89,398,3.65,4.84,1.27,1.75,0.48,0.00,1.27,1.19,2.54,3.89,0.00,Spiele
120,Dominick Drexler\Dominick-Drexler,de GER,MFFW,Köln,30,1990,13.7,2.41,1.68,0.73,1.24,0.44,0.58,2.26,258,1.68,20.5,6.06,295,5.99,9.34,5.18,1.39,0.36,0.00,1.02,1.31,3.72,1.24,0.00,Spiele
121,Ondrej Duda\Ondrej-Duda,sk SVK,FWMF,Köln,25,1994,28.2,1.81,1.03,0.57,0.99,0.25,0.46,1.63,283,1.17,18.7,4.47,240,3.12,10.6,4.89,1.13,0.07,0.00,1.06,0.67,2.48,0.71,0.00,Spiele
122,Erik Durm\Erik-Durm,de GER,DF,Eint Frankfurt,28,1992,16.4,1.28,0.98,0.43,0.73,0.12,0.43,1.65,259,1.22,13.8,4.82,348,4.63,5.43,3.78,1.95,0.37,0.00,1.59,1.40,2.68,1.52,0.00,Spiele
123,Johannes Eggestein\Johannes-Eggestein,de GER,FWMF,Werder Bremen,22,1998,0.4,0.00,0.00,0.00,0.00,0.00,0.00,2.50,00,2.50,37.5,12.5,333,7.50,12.5,17.5,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,Spiele
124,Maximilian Eggestein\Maximilian-Eggestein,de GER,MF,Werder Bremen,23,1996,32.7,1.83,1.35,0.64,0.92,0.28,0.43,1.35,318,0.92,15.7,5.05,322,5.75,7.52,2.39,1.77,0.12,0.00,1.65,1.31,3.15,1.44,0.00,Spiele
125,Lilian Egloff\Lilian-Egloff,de GER,MF,Stuttgart,17,2002,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,15.0,5.00,333,0.00,15.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
126,Kingsley Ehizibue\Kingsley-Ehizibue,nl NED,DF,Köln,25,1995,12.6,2.86,1.67,1.90,0.79,0.16,1.11,2.06,538,0.95,15.2,4.76,313,6.43,6.67,2.14,1.90,0.32,0.00,1.59,1.35,4.21,3.81,0.08,Spiele
127,Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'Gladbach,23,1996,28.2,2.16,1.17,1.49,0.64,0.04,0.96,1.49,643,0.53,7.94,3.19,402,4.86,2.94,0.14,2.06,0.82,0.00,1.24,2.27,4.43,6.17,0.00,Spiele
128,Breel Embolo\Breel-Embolo,ch SUI,FWMF,M'Gladbach,23,1997,16.0,1.38,0.88,0.25,0.94,0.19,0.25,0.38,667,0.13,17.7,4.13,233,1.19,9.63,6.88,0.94,0.06,0.00,0.88,0.38,1.75,0.38,0.00,Spiele
129,Keita Endo\Keita-Endo,jp JPN,MFFW,Union Berlin,22,1997,5.1,1.57,0.78,0.39,0.78,0.39,0.39,1.96,200,1.57,19.2,5.10,265,5.69,9.22,4.31,2.35,0.39,0.00,1.96,1.76,3.33,1.18,0.00,Spiele
130,Wataru Endo\Wataru-Endo,jp JPN,MF,Stuttgart,27,1993,32.8,2.71,1.89,1.10,1.28,0.34,0.95,2.35,403,1.40,19.5,7.07,363,7.20,9.94,2.38,1.95,0.37,0.00,1.59,1.43,4.15,2.23,0.03,Spiele
131,Patrick Erras\Patrick-Erras,de GER,MFFW,Werder Bremen,25,1995,0.3,0.00,0.00,0.00,0.00,0.00,0.00,3.33,00,3.33,10.0,10.0,1000,0.00,3.33,6.67,3.33,0.00,0.00,3.33,0.00,0.00,0.00,0.00,Spiele
132,Ralf Fährmann\Ralf-Fahrmann,de GER,TW,Schalke 04,31,1988,20.8,0.00,0.00,0.00,0.00,0.00,0.00,0.05,00,0.05,0.19,0.05,250,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
133,Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,de GER,DF,Augsburg,22,1997,29.0,1.38,0.83,0.90,0.38,0.10,0.55,1.10,500,0.55,9.48,3.86,407,5.28,3.45,0.76,2.34,0.93,0.00,1.41,1.24,2.62,7.55,0.10,Spiele
134,Edimilson Fernandes\Edimilson-Fernandes,ch SUI,MFDF,Mainz 05,24,1996,9.3,0.97,0.54,0.43,0.54,0.00,0.32,1.08,300,0.75,12.4,3.76,304,4.09,5.91,2.37,2.04,0.65,0.00,1.40,2.47,3.44,2.80,0.00,Spiele
135,Alfreð Finnbogason\Alfred-Finnbogason,is ISL,FW,Augsburg,31,1989,6.0,0.50,0.17,0.00,0.33,0.17,0.17,0.50,333,0.33,14.0,5.17,369,2.67,6.33,5.00,1.50,0.33,0.00,1.17,0.17,0.67,0.67,0.00,Spiele
136,Mark Flekken\Mark-Flekken,nl NED,TW,Freiburg,27,1993,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
137,Florian Flick\Florian-Flick,de GER,MF,Schalke 04,20,2000,4.0,2.25,1.75,0.75,1.50,0.00,1.00,3.25,308,2.25,27.8,9.00,324,16.5,10.8,0.50,1.75,0.50,0.00,1.25,1.50,3.75,2.75,0.00,Spiele
138,Emil Forsberg\Emil-Forsberg,se SWE,FWMF,RB Leipzig,28,1991,17.1,0.82,0.47,0.06,0.41,0.35,0.18,1.40,125,1.23,19.1,5.73,300,1.87,8.19,9.06,0.88,0.06,0.00,0.82,0.41,1.23,0.18,0.00,Spiele
139,Philipp Förster\Philipp-Forster,de GER,FWMF,Stuttgart,25,1995,16.8,1.79,1.31,0.71,0.89,0.18,0.42,1.43,292,1.01,17.3,4.64,269,3.93,7.50,5.83,1.37,0.12,0.00,1.25,0.95,2.74,0.36,0.00,Spiele
140,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Leverkusen,22,1998,4.5,2.00,1.11,1.11,0.67,0.22,0.89,1.33,667,0.44,8.44,3.78,447,3.11,4.22,1.11,2.89,0.22,0.00,2.67,1.33,3.33,1.33,0.00,Spiele
141,Raphael Framberger\Raphael-Framberger,de GER,DF,Augsburg,24,1995,17.1,2.40,0.94,1.29,0.70,0.41,0.88,1.75,500,0.88,12.2,3.16,260,6.20,4.27,1.70,3.68,0.35,0.00,3.33,1.58,3.98,3.74,0.06,Spiele
142,Marco Friedl\Marco-Friedl,at AUT,DF,Werder Bremen,22,1998,30.9,2.17,1.39,1.29,0.78,0.10,0.97,2.04,476,1.07,11.1,3.20,288,6.50,4.05,0.58,2.17,0.61,0.00,1.55,2.01,4.17,4.69,0.03,Spiele
143,Marvin Friedrich\Marvin-Friedrich,de GER,DF,Union Berlin,24,1995,34.0,1.79,1.15,1.12,0.68,0.00,0.62,1.26,488,0.65,11.3,4.50,399,6.00,4.32,0.94,2.03,0.62,0.00,1.41,1.29,3.09,3.97,0.00,Spiele
144,Jeremie Frimpong\Jeremie-Frimpong,nl NED,DFFW,Leverkusen,19,2000,4.8,1.46,0.63,0.83,0.63,0.00,0.63,1.46,429,0.83,17.1,5.83,341,5.00,6.04,6.04,1.67,0.00,0.00,1.67,0.63,2.08,1.88,0.00,Spiele
145,Niclas Füllkrug\Niclas-Fullkrug,de GER,FWMF,Werder Bremen,27,1993,9.7,0.82,0.52,0.10,0.62,0.10,0.31,1.96,158,1.65,20.2,4.74,235,1.44,9.69,9.07,1.55,0.62,0.00,0.93,0.41,1.24,1.13,0.00,Spiele
146,Mijat Ga?inovi?\Mijat-Gacinovic,rs SRB,DFMF,Hoffenheim,25,1995,9.1,1.98,0.99,0.77,1.10,0.11,0.77,2.31,333,1.54,16.5,5.60,340,5.49,6.81,4.18,2.31,0.11,0.00,2.20,1.87,3.85,1.76,0.00,Spiele
147,Christian Gebauer\Christian-Gebauer,at AUT,MFFW,Arminia,26,1993,7.6,1.58,0.79,0.53,0.79,0.26,0.26,1.45,182,1.18,18.7,5.26,282,5.39,7.89,5.39,1.18,0.13,0.00,1.05,1.05,2.63,2.50,0.00,Spiele
148,Theodor Gebre Selassie\Theodor-Gebre-Selassie,cz CZE,DF,Werder Bremen,33,1986,33.7,2.11,1.01,1.39,0.42,0.30,0.86,2.14,403,1.28,14.5,4.30,296,7.21,4.81,2.52,2.11,0.39,0.00,1.72,1.81,3.92,3.62,0.03,Spiele
149,Emrehan Gedikli\Emrehan-Gedikli,de GER,FW,Leverkusen,17,2003,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,16.7,6.67,400,0.00,6.67,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
150,Dennis Geiger\Dennis-Geiger,de GER,MF,Hoffenheim,22,1998,7.3,2.47,1.51,0.41,1.64,0.41,0.82,1.78,462,0.96,19.9,6.16,310,3.70,10.8,5.34,1.23,0.00,0.00,1.23,0.68,3.15,0.14,0.00,Spiele
151,Christian Gentner\Christian-Gentner,de GER,MF,Union Berlin,34,1985,11.5,1.83,1.04,0.96,0.26,0.61,0.52,1.74,300,1.22,18.5,6.43,347,4.70,8.26,5.57,1.65,0.26,0.00,1.39,1.13,2.96,2.26,0.00,Spiele
152,Yannick Gerhardt\Yannick-Gerhardt,de GER,MFFW,Wolfsburg,26,1994,21.5,2.74,1.72,0.84,1.40,0.51,0.70,2.19,319,1.49,25.9,8.33,321,5.63,13.6,6.70,1.49,0.09,0.00,1.40,0.79,3.53,1.49,0.00,Spiele
153,Hamadi Al Ghaddioui\Hamadi-Al-Ghaddioui,ma MAR,FWMF,Stuttgart,29,1990,0.5,0.00,0.00,0.00,0.00,0.00,0.00,2.00,00,2.00,18.0,6.00,333,4.00,6.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
154,Niko Gießelmann\Niko-Giesselmann,de GER,DF,Union Berlin,28,1991,4.8,3.75,1.88,2.71,0.63,0.42,1.25,1.67,750,0.42,16.3,4.17,256,7.50,5.00,3.75,1.88,0.42,0.00,1.46,1.67,5.42,3.75,0.21,Spiele
155,Rafa? Gikiewicz\Rafal-Gikiewicz,pl POL,TW,Augsburg,32,1987,34.0,0.00,0.00,0.00,0.00,0.00,0.00,0.09,00,0.09,0.21,0.09,429,0.21,0.00,0.00,0.06,0.00,0.00,0.06,0.00,0.00,0.00,0.03,Spiele
156,Daniel Ginczek\Daniel-Ginczek,de GER,FWMF,Wolfsburg,29,1991,2.4,1.67,0.83,0.42,1.25,0.00,0.42,4.17,100,3.75,27.5,5.83,212,2.50,14.6,10.4,0.42,0.00,0.00,0.42,0.00,1.67,1.67,0.00,Spiele
157,Matthias Ginter\Matthias-Ginter,de GER,DF,M'Gladbach,26,1994,34.0,0.88,0.53,0.47,0.38,0.03,0.32,0.82,393,0.50,5.24,2.12,404,2.76,2.09,0.38,1.68,0.94,0.09,0.74,1.15,2.03,5.38,0.00,Spiele
158,Robert Glatzel\Robert-Glatzel,de GER,FW,Mainz 05,26,1994,4.0,0.75,0.25,0.25,0.25,0.25,0.25,1.25,200,1.00,23.5,5.50,234,2.00,12.0,9.50,0.50,0.00,0.00,0.50,0.50,1.25,0.75,0.00,Spiele
159,Serge Gnabry\Serge-Gnabry,de GER,FWMF,Bayern Munich,25,1995,18.3,2.02,1.26,0.55,0.87,0.60,0.60,1.75,344,1.15,16.3,5.03,309,2.62,6.94,6.72,1.09,0.05,0.00,1.04,1.26,3.28,0.11,0.00,Spiele
160,Akaki Gogia\Akaki-Gogia,de GER,FWMF,Union Berlin,28,1992,1.6,1.25,0.63,0.00,1.25,0.00,0.00,0.63,00,0.63,12.5,1.88,150,0.63,9.38,2.50,0.63,0.00,0.00,0.63,0.00,1.25,0.63,0.00,Spiele
161,Nicolás González\Nicolas-Gonzalez,ar ARG,FWDF,Stuttgart,22,1998,10.4,0.48,0.48,0.19,0.19,0.10,0.00,0.77,00,0.77,11.4,2.50,218,1.73,3.65,6.06,1.44,0.38,0.00,1.06,0.29,0.77,0.67,0.00,Spiele
162,Leon Goretzka\Leon-Goretzka,de GER,MF,Bayern Munich,25,1995,18.9,2.49,1.48,0.90,1.38,0.21,0.69,1.85,371,1.16,16.2,5.87,362,4.71,8.47,3.07,2.17,0.11,0.00,2.06,2.59,5.08,1.01,0.00,Spiele
163,Jeffrey Gouweleeuw\Jeffrey-Gouweleeuw,nl NED,DF,Augsburg,29,1991,31.5,1.24,1.02,0.67,0.48,0.10,0.38,0.98,387,0.60,8.54,3.05,357,4.79,3.30,0.44,1.71,0.63,0.00,1.08,1.62,2.86,6.98,0.10,Spiele
164,Demarai Gray\Demarai-Gray,eng ENG,FW,Leverkusen,24,1996,4.9,0.61,0.61,0.20,0.20,0.20,0.00,0.61,00,0.61,8.78,3.06,349,1.43,3.27,4.08,0.20,0.00,0.00,0.20,0.41,1.02,1.43,0.00,Spiele
165,Michael Gregoritsch\Michael-Gregoritsch,at AUT,FWMF,Augsburg,26,1994,9.3,1.51,1.08,0.43,1.08,0.00,0.11,0.86,125,0.75,19.6,5.59,286,2.37,12.6,4.62,0.75,0.11,0.00,0.65,0.11,1.61,1.51,0.00,Spiele
166,Sebastian Griesbeck\Sebastian-Griesbeck,de GER,MF,Union Berlin,29,1990,9.9,2.53,1.41,1.21,1.11,0.20,0.71,2.53,280,1.82,19.5,5.56,285,6.77,9.49,3.23,1.62,0.30,0.00,1.31,0.51,3.03,1.11,0.00,Spiele
167,Vincenzo Grifo\Vincenzo-Grifo,it ITA,MFFW,Freiburg,27,1993,25.7,0.82,0.47,0.31,0.35,0.16,0.51,1.60,317,1.09,10.2,2.30,226,2.45,4.20,3.50,1.13,0.04,0.00,1.09,1.01,1.83,0.70,0.04,Spiele
168,Lennart Grill\Lennart-Grill,de GER,TW,Leverkusen,21,1999,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.25,0.00,00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
169,Florian Grillitsch\Florian-Grillitsch,at AUT,MFDF,Hoffenheim,24,1995,20.9,1.82,1.20,1.05,0.72,0.05,0.43,2.30,188,1.87,16.1,4.88,303,5.36,8.04,2.73,2.39,0.38,0.00,2.01,2.25,4.07,2.58,0.00,Spiele
170,Christian Groß\Christian-Gross,de GER,MFDF,Werder Bremen,31,1989,16.3,2.94,2.09,1.35,1.47,0.12,0.92,2.33,395,1.41,19.6,6.81,348,8.40,9.39,1.78,1.17,0.12,0.00,1.04,1.84,4.79,3.19,0.00,Spiele
171,Ilia Gruev\Ilia-Gruev,bg BUL,FW,Werder Bremen,20,2000,0.0,0,0,0,0,0,0,0,,0,1,0,00,1,0,0,0,0,0,0,0,0,0,0,Spiele
172,Carlos Gruezo\Carlos-Gruezo,ec ECU,MF,Augsburg,25,1995,23.2,3.23,2.03,1.38,1.68,0.17,1.12,2.63,426,1.51,20.0,6.51,325,7.89,10.1,1.98,1.85,0.22,0.00,1.64,1.55,4.78,1.25,0.04,Spiele
173,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Hertha BSC,21,1999,20.2,1.34,1.19,0.69,0.45,0.20,0.25,1.09,227,0.84,13.4,4.55,339,4.36,6.49,2.57,1.63,0.25,0.00,1.39,1.09,2.43,1.14,0.05,Spiele
174,Raphaël Guerreiro\Raphael-Guerreiro,pt POR,DF,Dortmund,26,1993,24.6,1.26,0.81,0.57,0.41,0.28,0.61,1.38,441,0.77,7.72,2.44,316,2.76,2.97,1.99,1.46,0.16,0.00,1.30,1.34,2.60,1.46,0.04,Spiele
175,Josuha Guilavogui\Josuha-Guilavogui,fr FRA,MFDF,Wolfsburg,29,1990,8.3,2.77,1.69,1.33,1.08,0.36,0.72,1.93,375,1.20,13.0,3.98,306,4.46,7.59,0.96,2.17,0.84,0.12,1.33,2.53,5.30,4.34,0.00,Spiele
176,Péter Gulácsi\Peter-Gulacsi,hu HUN,TW,RB Leipzig,30,1990,33.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,00,0.03,0.06,0.00,00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
177,Manuel Gulde\Manuel-Gulde,de GER,DF,Freiburg,29,1991,21.7,1.01,0.51,0.46,0.46,0.09,0.18,0.92,200,0.74,7.88,2.44,310,4.29,3.36,0.23,1.61,0.60,0.00,1.01,1.38,2.40,4.01,0.00,Spiele
178,Robert Gumny\Robert-Gumny,pl POL,DF,Augsburg,22,1998,15.3,1.24,0.85,0.72,0.39,0.13,0.39,1.11,353,0.72,13.0,4.12,317,6.34,4.71,1.96,2.22,0.26,0.00,1.96,1.83,3.07,1.83,0.00,Spiele
179,Christian Günter\Christian-Gunter,de GER,DF,Freiburg,27,1993,34.0,1.41,0.76,0.79,0.47,0.15,0.59,1.71,345,1.12,11.5,2.97,258,4.50,4.59,2.44,1.56,0.21,0.00,1.35,0.88,2.29,1.29,0.00,Spiele
180,Erling Haaland\Erling-Haaland,no NOR,FW,Dortmund,20,2000,26.7,0.26,0.22,0.07,0.07,0.11,0.04,0.37,100,0.34,12.0,3.93,328,0.30,3.37,8.31,0.75,0.34,0.00,0.41,0.19,0.45,0.56,0.00,Spiele
181,Janik Haberer\Janik-Haberer,de GER,MFFW,Freiburg,26,1994,5.4,1.67,1.30,0.56,0.56,0.56,0.74,3.52,211,2.78,27.8,7.59,273,7.96,12.4,7.41,1.67,0.37,0.00,1.30,0.74,2.41,1.67,0.00,Spiele
182,Alexander Hack\Alexander-Hack,de GER,DF,Mainz 05,26,1993,15.2,2.83,1.64,2.04,0.66,0.13,1.58,2.43,649,0.86,8.82,3.75,425,5.92,2.50,0.39,1.64,1.32,0.00,0.33,1.97,4.80,8.03,0.13,Spiele
183,André Hahn\Andre-Hahn,de GER,FWMF,Augsburg,29,1990,22.6,1.95,0.88,0.71,0.88,0.35,0.62,2.35,264,1.73,22.6,4.56,202,3.98,10.8,7.79,2.17,0.18,0.00,1.99,0.80,2.74,1.15,0.00,Spiele
184,Amadou Haidara\Amadou-Haidara,ml MLI,MFDF,RB Leipzig,22,1998,21.2,2.74,1.46,0.94,1.08,0.71,0.66,2.12,311,1.46,18.7,5.75,307,3.87,10.4,4.43,2.12,0.09,0.00,2.03,1.42,4.15,1.27,0.00,Spiele
185,Marcel Halstenberg\Marcel-Halstenberg,de GER,DF,RB Leipzig,28,1991,18.3,2.13,1.31,1.42,0.60,0.11,0.55,2.24,244,1.69,10.3,4.64,450,4.92,4.21,1.20,0.98,0.16,0.00,0.82,0.93,3.06,2.90,0.05,Spiele
186,Amine Harit\Amine-Harit,ma MAR,MFFW,Schalke 04,23,1997,23.3,1.03,0.73,0.47,0.43,0.13,0.30,1.16,259,0.86,15.3,4.59,300,4.46,7.77,3.09,0.52,0.09,0.00,0.43,0.99,2.02,0.43,0.00,Spiele
187,Marcel Hartel\Marcel-Hartel,de GER,MF,Arminia,24,1996,18.7,1.87,1.12,0.86,0.86,0.16,0.64,1.98,324,1.34,17.8,5.24,295,4.65,9.30,3.80,1.50,0.27,0.00,1.23,0.86,2.73,0.75,0.00,Spiele
188,Makoto Hasebe\Makoto-Hasebe,jp JPN,DFMF,Eint Frankfurt,36,1984,25.4,2.17,1.54,1.34,0.59,0.24,0.98,2.48,397,1.50,13.6,4.80,354,6.22,6.14,1.22,1.54,0.59,0.00,0.94,1.30,3.46,2.87,0.00,Spiele
189,Thorgan Hazard\Thorgan-Hazard,be BEL,FWMF,Dortmund,27,1993,7.3,0.96,0.68,0.68,0.27,0.00,0.68,2.05,333,1.37,19.7,5.75,292,6.16,8.08,5.48,1.37,0.00,0.00,1.37,1.37,2.33,0.41,0.00,Spiele
190,Jonas Hector\Jonas-Hector,de GER,MF,Köln,30,1990,14.3,1.96,1.05,0.63,1.05,0.28,0.56,2.38,235,1.82,19.3,5.38,279,5.45,8.95,4.90,1.96,0.35,0.00,1.61,1.33,3.29,1.68,0.21,Spiele
191,Hwang Hee-chan\Hwang-Hee-chan,kr KOR,FWMF,RB Leipzig,24,1996,5.1,1.37,0.98,0.78,0.39,0.20,0.20,0.78,250,0.59,26.9,8.24,307,3.14,12.5,11.2,0.78,0.00,0.00,0.78,0.59,1.96,0.59,0.00,Spiele
